Symbol,Name,Reason
LEN,Lennar Corporation,Operating Margins
SYY,Sysco Corporation,EBITDA Margin
HUBB,Hubbell Incorporated,Operating Margins
HOLX,"Hologic, Inc.",Avg. Volume
AWK,"American Water Works Company, Inc.",Debt/Equity
ADI,"Analog Devices, Inc.",Revenue Growth
EXR,Extra Space Storage Inc.,Avg. Volume
DIS,The Walt Disney Company,P/E
WMB,"The Williams Companies, Inc.",Debt/Equity
IRM,Iron Mountain Incorporated,P/E
WAB,Westinghouse Air Brake Technologies Corporation,Operating Margins
CE,Celanese Corporation,Operating Margins
DHI,"D.R. Horton, Inc.",Operating Margins
MCO,Moody's Corporation,Debt/Equity
AOS,A. O. Smith Corporation,Operating Margins
FIS,"Fidelity National Information Services, Inc.",P/E
ESS,"Essex Property Trust, Inc.",Debt/Equity
FSLR,"First Solar, Inc.",Avg. Volume
PPL,PPL Corporation,Debt/Equity
LMT,Lockheed Martin Corporation,Operating Margins
CAT,Caterpillar Inc.,Debt/Equity
CDNS,"Cadence Design Systems, Inc.",P/E
AMD,"Advanced Micro Devices, Inc.",P/E
MKC,"McCormick & Company, Incorporated",Operating Margins
CPB,Campbell Soup Company,Operating Margins
NVR,"NVR, Inc.",Avg. Volume
EOG,"EOG Resources, Inc.",Beta
PKG,Packaging Corporation of America,Operating Margins
UBER,"Uber Technologies, Inc.",P/E
DUK,Duke Energy Corporation,Debt/Equity
TMO,Thermo Fisher Scientific Inc.,Avg. Volume
BALL,Ball Corporation,Operating Margins
COP,ConocoPhillips,Revenue Growth
TRMB,Trimble Inc.,Avg. Volume
TAP,Molson Coors Beverage Company,Operating Margins
AIG,"American International Group, Inc.",Operating Margins
CSGP,"CoStar Group, Inc.",P/E
ACGL,Arch Capital Group Ltd.,Avg. Volume
SRE,Sempra,Avg. Volume
PCAR,PACCAR Inc,Operating Margins
SHW,The Sherwin-Williams Company,Operating Margins
HAL,Halliburton Company,Beta
ROK,"Rockwell Automation, Inc.",Operating Margins
AVB,"AvalonBay Communities, Inc.",Avg. Volume
KVUE,Kenvue Inc.,Operating Margins
EVRG,"Evergy, Inc.",Operating Margins
CTLT,"Catalent, Inc.",Eps
JKHY,"Jack Henry & Associates, Inc.",Avg. Volume
ALL,The Allstate Corporation,Eps
MLM,"Martin Marietta Materials, Inc.",Avg. Volume
J,Jacobs Solutions Inc.,EBITDA Margin
CVX,Chevron Corporation,Operating Margins
UNH,UnitedHealth Group Incorporated,EBITDA Margin
JBHT,"J.B. Hunt Transport Services, Inc.",EBITDA Margin
LUV,Southwest Airlines Co.,EBITDA Margin
WY,Weyerhaeuser Company,Operating Margins
DVA,DaVita Inc.,Operating Margins
IEX,IDEX Corporation,Avg. Volume
REG,Regency Centers Corporation,Avg. Volume
EIX,Edison International,Debt/Equity
NOW,"ServiceNow, Inc.",P/E
ISRG,"Intuitive Surgical, Inc.",P/E
BR,"Broadridge Financial Solutions, Inc.",Operating Margins
VTRS,Viatris Inc.,P/E
XEL,Xcel Energy Inc.,Debt/Equity
NWSA,News Corporation,P/E
MRNA,"Moderna, Inc.",Eps
DLTR,"Dollar Tree, Inc.",Eps
TEL,TE Connectivity Ltd.,Avg. Volume
FTV,Fortive Corporation,Avg. Volume
VTR,"Ventas, Inc.",Eps
ABNB,"Airbnb, Inc.",Operating Margins
NSC,Norfolk Southern Corporation,Debt/Equity
GPN,Global Payments Inc.,Avg. Volume
AVY,Avery Dennison Corporation,Operating Margins
UNP,Union Pacific Corporation,Debt/Equity
GILD,"Gilead Sciences, Inc.",Debt/Equity
ZTS,Zoetis Inc.,Debt/Equity
SYK,Stryker Corporation,Avg. Volume
ACN,Accenture plc,Operating Margins
OTIS,Otis Worldwide Corporation,Operating Margins
EQT,EQT Corporation,Revenue Growth
